locality,state,postcode,count,latitude,longitude
Burwood,NSW,2134,12740,-33.8769,151.1034
Broadbeach,QLD,4218,12738,-28.0285,153.432
Miranda,NSW,2228,12622,-34.0335,151.1024
Dianella,WA,6059,12612,-31.8915,115.8741
Rockingham,WA,6168,12592,-32.2824,115.7368
Wodonga,VIC,3690,12558,-36.1324,146.8852
Warragul,VIC,3820,12522,-38.1546,145.934
Camberwell,VIC,3124,12518,-37.8388,145.0725
Lidcombe,NSW,2141,12477,-33.8606,151.0484
Pyrmont,NSW,2009,12469,-33.8704,151.1943
Mill Park,VIC,3082,12446,-37.6632,145.0618
Coorparoo,QLD,4151,12356,-27.4982,153.0602
Narre Warren,VIC,3805,12348,-38.0172,145.3065
Clayton,VIC,3168,12345,-37.9191,145.1269
Thomastown,VIC,3074,12336,-37.6822,145.0128
Mount Barker,SA,5251,12332,-35.0793,138.8662
Palm Beach,QLD,4221,12326,-28.1149,153.4661
Morley,WA,6062,12296,-31.8877,115.9086
Darlinghurst,NSW,2010,12290,-33.8777,151.2188
Burleigh Heads,QLD,4220,12286,-28.0953,153.4418
Box Hill,VIC,3128,12283,-37.8196,145.1233
Wangaratta,VIC,3677,12283,-36.3581,146.3102
Campbelltown,NSW,2560,12168,-34.0692,150.8127
Seaford,VIC,3198,12113,-38.1097,145.1369
Torquay,VIC,3228,12079,-38.3203,144.3252
East Perth,WA,6004,12016,-31.957,115.8737
Cleveland,QLD,4163,11927,-27.5313,153.2693
Griffith,NSW,2680,11896,-34.2837,146.0507
Carnegie,VIC,3163,11857,-37.8918,145.0561
Upper Coomera,QLD,4209,11813,-27.871,153.2932
South Perth,WA,6151,11760,-31.9769,115.8608
Bondi Junction,NSW,2022,11718,-33.8924,151.2499
Redfern,NSW,2016,11711,-33.8934,151.2065
Prahran,VIC,3181,11675,-37.8513,144.9982
Rosebud,VIC,3939,11667,-38.3676,144.9073
Thornbury,VIC,3071,11626,-37.758,145.0042
Newtown,NSW,2042,11601,-33.8981,151.18
Elwood,VIC,3184,11586,-37.8803,144.9866
North Sydney,NSW,2060,11565,-33.8374,151.2081
Lara,VIC,3212,11415,-38.0216,144.3925
Pimpama,QLD,4209,11393,-27.8236,153.3052
West End,QLD,4101,11378,-27.4827,153.0052
Rye,VIC,3941,11282,-38.3792,144.8107
Wyndham Vale,VIC,3024,11248,-37.8767,144.616
Taree,NSW,2430,11240,-31.9019,152.4578
Macquarie Park,NSW,2113,11215,-33.7807,151.122
Seven Hills,NSW,2147,11193,-33.7769,150.9372
Maylands,WA,6051,11180,-31.9326,115.8979
Doreen,VIC,3754,11172,-37.5982,145.1252
Coogee,NSW,2034,11139,-33.9203,151.2539
