locality,state,postcode,count,latitude,longitude
Rainbow,VIC,3424,570,-35.8984,141.9942
Noarlunga Centre,SA,5168,570,-35.1417,138.4967
Loxton North,SA,5333,570,-34.4133,140.6164
St Huberts Island,NSW,2257,569,-33.4956,151.3462
Glenrowan,VIC,3675,569,-36.4527,146.2269
Wirrabara,SA,5481,569,-33.0399,138.2564
San Remo,WA,6210,569,-32.4902,115.745
Mahomets Flats,WA,6530,569,-28.7918,114.614
Voyager Point,NSW,2172,567,-33.9618,150.9727
Arndell Park,NSW,2148,566,-33.7903,150.8824
Nords Wharf,NSW,2281,566,-33.1375,151.6059
Richmond,QLD,4740,566,-21.0798,149.1493
Dry Creek,SA,5094,566,-34.8373,138.5857
Lilli Pilli,NSW,2536,565,-35.7764,150.2273
Leigh Creek,SA,5731,565,-30.592,138.3989
Paxton,NSW,2325,564,-32.9018,151.2848
Karoonda,SA,5307,564,-35.1058,139.9096
Blackstone Heights,TAS,7250,564,-41.4586,147.0797
Glenmaggie,VIC,3858,563,-37.9079,146.7538
Julatten,QLD,4871,563,-16.5793,145.3677
Binalong Bay,TAS,7216,563,-41.2515,148.3036
Stuarts Point,NSW,2441,562,-30.8214,152.9904
Bloomsbury,QLD,4799,562,-20.6811,148.6115
Echunga,SA,5153,562,-35.1009,138.7991
Braemar,NSW,2575,561,-34.4324,150.48
St Andrews,VIC,3761,560,-37.5943,145.2814
Wudinna,SA,5652,560,-33.0469,135.4658
Mallabula,NSW,2319,559,-32.7281,152.0136
Boggabilla,NSW,2409,559,-28.6214,150.3382
Minden,QLD,4311,559,-27.5428,152.551
Ocean View,QLD,4521,559,-27.1269,152.8073
Widgee,QLD,4570,559,-26.2138,152.4339
Habana,QLD,4740,559,-21.0348,149.0726
Walla Walla,NSW,2659,558,-35.7522,146.8927
Hodgson Vale,QLD,4352,558,-27.6546,151.936
Agnes Banks,NSW,2753,557,-33.6199,150.7055
Lakelands,NSW,2282,556,-32.962,151.6496
Nana Glen,NSW,2450,556,-30.1355,153.0079
Mossy Point,NSW,2537,556,-35.835,150.1774
Candelo,NSW,2550,556,-36.7712,149.689
Mulgrave,NSW,2756,556,-33.6266,150.8348
Castle Hill,QLD,4810,556,-19.2492,146.7995
Kalangadoo,SA,5278,556,-37.557,140.695
Morawa,WA,6623,556,-29.2115,116.0087
Murrays Beach,NSW,2281,555,-33.1178,151.6189
Mount Pleasant,NSW,2519,555,-34.3958,150.8694
Perth Airport,WA,6105,554,-31.9412,115.9701
Rodd Point,NSW,2046,553,-33.8659,151.1419
Rowes Bay,QLD,4810,553,-19.2381,146.7859
College Grove,WA,6230,553,-33.3763,115.6529
Carey Bay,NSW,2283,552,-33.0265,151.6058
Eugowra,NSW,2806,552,-33.4283,148.3658
Sea Lake,VIC,3533,552,-35.5037,142.8544
Katunga,VIC,3640,552,-36.001,145.4687
Chillagoe,QLD,4871,552,-17.1428,144.4953
Georgetown,QLD,4871,552,-18.2927,143.5288
Hamilton North,NSW,2292,551,-32.9144,151.7371
Mendooran,NSW,2842,551,-31.8166,149.1055
Pyramid Hill,VIC,3575,551,-36.0564,144.1127
Sassafras,VIC,3787,551,-37.8665,145.352
Compton,SA,5291,551,-37.8247,140.7131
West Woombye,QLD,4559,550,-26.6647,152.9338
Barmaryee,QLD,4703,550,-23.1414,150.7107
Pelaw Main,NSW,2327,549,-32.83,151.4821
Kianga,NSW,2546,549,-36.1962,150.1261
Koongamia,WA,6056,549,-31.9071,116.0425
East Carnarvon,WA,6701,549,-24.8667,113.6784
Myocum,NSW,2481,548,-28.5911,153.5111
North Narooma,NSW,2546,548,-36.2052,150.1192
Kurmond,NSW,2757,548,-33.5519,150.6972
Manildra,NSW,2865,548,-33.1887,148.6877
Menindee,NSW,2879,548,-32.3895,142.4518
Glenore Grove,QLD,4342,548,-27.5383,152.4092
Cootharaba,QLD,4565,548,-26.2923,152.9427
Hawker,SA,5434,548,-31.8763,138.4319
Muchea,WA,6501,548,-31.5694,115.9687
Taralga,NSW,2580,547,-34.4044,149.8085
Peterborough,VIC,3270,547,-38.6016,142.8751
Condamine,QLD,4416,547,-26.9403,150.122
Tabulam,NSW,2469,546,-28.8857,152.5373
Suttontown,SA,5291,546,-37.7986,140.756
Lilli Pilli,NSW,2229,545,-34.0673,151.1159
Merrijig,VIC,3723,545,-37.104,146.3089
Qunaba,QLD,4670,545,-24.8395,152.4266
Karumba,QLD,4891,545,-17.4829,140.8379
Yarloop,WA,6218,545,-32.9557,115.8995
Fishing Point,NSW,2283,544,-33.0528,151.5949
Bow Bowing,NSW,2566,544,-34.0169,150.8389
Harkaway,VIC,3806,544,-37.9973,145.3508
Newhaven,VIC,3925,544,-38.5128,145.3534
Glen Aplin,QLD,4381,543,-28.7361,151.8807
Kensington,QLD,4670,543,-24.9082,152.3168
Gulargambone,NSW,2828,542,-31.3269,148.479
Kureelpa,QLD,4560,542,-26.6104,152.9001
Oakbank,SA,5243,542,-34.9824,138.8487
Balingup,WA,6253,542,-33.7831,115.9887
Mount Clarence,WA,6330,542,-35.0203,117.8975
Green Head,WA,6514,542,-30.0662,114.9714
Lucinda,QLD,4850,541,-18.533,146.3302
Fitzroy Crossing,WA,6765,541,-18.1929,125.5674
Merewether Heights,NSW,2291,540,-32.9471,151.7325
Langwarrin South,VIC,3911,540,-38.1883,145.1892
Kin Kin,QLD,4571,540,-26.2585,152.8754
Annangrove,NSW,2156,539,-33.6585,150.9481
Shepparton East,VIC,3631,539,-36.3944,145.472
Erindale,SA,5066,539,-34.9287,138.6639
Tennyson Point,NSW,2111,538,-33.8313,151.1166
Dawes Point,NSW,2000,537,-33.8562,151.2059
Ungarie,NSW,2669,537,-33.6264,146.9593
Stonyfell,SA,5066,537,-34.9338,138.6741
Hindmarsh Valley,SA,5211,537,-35.5036,138.6189
North Moonta,SA,5558,537,-34.0569,137.5923
Eudlo,QLD,4554,536,-26.729,152.9474
Sunshine Acres,QLD,4655,536,-25.3559,152.7906
Armstrong Beach,QLD,4737,536,-21.4491,149.2872
Pelican Point,WA,6230,535,-33.3153,115.6924
Morgantown,WA,6701,535,-24.8764,113.6608
Pyalong,VIC,3521,534,-37.1218,144.858
Willawong,QLD,4110,534,-27.6006,153.0199
Benaraby,QLD,4680,534,-24.0129,151.3223
Conondale,QLD,4552,533,-26.7539,152.7219
Sapphire Central,QLD,4702,533,-23.4654,147.7172
Penneshaw,SA,5222,533,-35.7232,137.9416
Haywards Bay,NSW,2530,532,-34.5417,150.7902
Picnic Bay,QLD,4819,532,-19.1765,146.8383
Dudley Park,SA,5008,531,-34.8788,138.5781
Karratha Industrial Estate,WA,6714,531,-20.7689,116.869
Grantham,QLD,4347,530,-27.5673,152.1948
Ovingham,SA,5082,530,-34.8983,138.5853
North Lake,WA,6163,530,-32.0815,115.831
Parklands,TAS,7320,530,-41.0478,145.8931
Yarravel,NSW,2440,529,-31.0464,152.7738
Kalaru,NSW,2550,529,-36.7332,149.9348
Broughton,QLD,4820,529,-20.1095,146.3099
Watsons Bay,NSW,2030,528,-33.8434,151.2823
Wolumla,NSW,2550,528,-36.8242,149.8105
O'malley,ACT,2606,528,-35.3538,149.1086
Wycheproof,VIC,3527,528,-36.0761,143.2272
Amity,QLD,4183,528,-27.3976,153.4443
Wallangarra,QLD,4383,528,-28.9161,151.9304
Kettering,TAS,7155,528,-43.1255,147.2408
Tingha,NSW,2369,527,-29.9561,151.2136
Mount Cottrell,VIC,3024,526,-37.8108,144.6423
Mandurama,NSW,2792,525,-33.6556,149.0483
Birchip,VIC,3483,525,-35.9818,142.9162
Rubyvale,QLD,4702,525,-23.4186,147.6855
Mckenzie Hill,VIC,3451,524,-37.0703,144.1878
Shelly Beach,QLD,4551,524,-26.7965,153.1456
Pacific Haven,QLD,4659,524,-25.2557,152.5499
Kambalda East,WA,6442,524,-31.2025,121.6674
North Isis,QLD,4660,523,-25.189,152.2694
Erowal Bay,NSW,2540,522,-35.1008,150.6549
Medlow Bath,NSW,2780,522,-33.6772,150.2857
Haddon,VIC,3351,522,-37.5963,143.6971
Middle Cove,NSW,2068,521,-33.7927,151.2098
Yellow Rock,NSW,2777,521,-33.6967,150.6327
Blind Bight,VIC,3980,520,-38.2136,145.3388
Kuttabul,QLD,4741,520,-21.0354,148.8955
North Yunderup,WA,6208,520,-32.577,115.7965
Leeman,WA,6514,520,-29.9459,114.9807
Sisters Beach,TAS,7321,520,-40.9176,145.558
Kotara South,NSW,2289,518,-32.9512,151.6905
Mysterton,QLD,4812,518,-19.2867,146.7939
Frewville,SA,5063,518,-34.9479,138.6312
Gormans Hill,NSW,2795,517,-33.4345,149.5918
Macarthur,ACT,2904,517,-35.4057,149.1301
Thargomindah,QLD,4492,517,-28.0052,143.846
Arcadia,QLD,4819,517,-19.149,146.8644
Greens Beach,TAS,7270,517,-41.0843,146.7411
Alyangula,NT,0885,516,-13.8495,136.4201
Clunes,NSW,2480,516,-28.7283,153.4053
Belli Park,QLD,4562,516,-26.4993,152.8299
Guilderton,WA,6041,516,-31.3468,115.5026
Whitby,WA,6123,516,-32.281,115.9989
Dowerin,WA,6461,516,-31.1941,117.0372
Barmedman,NSW,2668,515,-34.1392,147.3918
Trundle,NSW,2875,515,-32.911,147.7073
Skenes Creek,VIC,3233,515,-38.7223,143.714
Taradale,VIC,3447,515,-37.1398,144.3468
Yandina Creek,QLD,4561,515,-26.521,153.0204
Veteran,QLD,4570,515,-26.1454,152.7018
Yarrawonga,NT,0830,514,-12.4724,130.9888
Kooyong,VIC,3144,514,-37.842,145.0345
Burrum Town,QLD,4659,514,-25.3273,152.585
Millaa Millaa,QLD,4886,514,-17.51,145.6142
Stanley,TAS,7331,514,-40.7634,145.29
Abercrombie,NSW,2795,513,-33.3893,149.5478
Ashfield,QLD,4670,513,-24.8739,152.3914
Forcett,TAS,7173,513,-42.817,147.6387
Balcolyn,NSW,2264,512,-33.0959,151.5528
Hamilton East,NSW,2303,512,-32.9276,151.755
Tyers,VIC,3844,512,-38.1414,146.4842
Tarwin Lower,VIC,3956,512,-38.7428,145.8942
Church Point,NSW,2105,511,-33.6511,151.2822
Coutts Crossing,NSW,2460,511,-29.8474,152.8936
Purga,QLD,4306,511,-27.7004,152.7209
Burwood Heights,NSW,2136,510,-33.8895,151.1031
Hamilton Valley,NSW,2641,509,-36.0329,146.9112
Cattai,NSW,2756,508,-33.5531,150.9125
Exeter,TAS,7275,508,-41.2993,146.946
Nanum,QLD,4874,507,-12.6427,141.8616
Peppermint Grove Beach,WA,6271,506,-33.5247,115.5096
Chum Creek,VIC,3777,505,-37.621,145.4957
Injune,QLD,4454,505,-25.8472,148.561
Baralaba,QLD,4702,505,-24.198,149.8245
Ross Creek,VIC,3351,503,-37.6409,143.7651
Younghusband,SA,5238,503,-34.8754,139.4646
Cardup,WA,6122,503,-32.2487,115.9761
Dunoon,NSW,2480,502,-28.6808,153.3185
Barrack Point,NSW,2528,502,-34.5638,150.8682
Bannockburn,QLD,4207,502,-27.7574,153.1894
Peeramon,QLD,4885,502,-17.3189,145.6148
Barellan,NSW,2665,501,-34.2646,146.5783
Snake Valley,VIC,3351,501,-37.6193,143.5797
Stanhope,VIC,3623,501,-36.449,144.986
Barnawartha,VIC,3688,501,-36.1001,146.6706
Jamieson,VIC,3723,501,-37.2906,146.1395
Kangarilla,SA,5157,501,-35.1496,138.6619
Bodalla,NSW,2545,500,-36.0971,150.0503
Kangaroo Ground,VIC,3097,500,-37.6884,145.2289
Don Valley,VIC,3139,500,-37.7411,145.5945
Puckapunyal,VIC,3662,500,-36.9999,145.037
Yuleba,QLD,4427,500,-26.6124,149.382
Laverton,WA,6440,500,-28.63,122.3981
Bilbul,NSW,2680,499,-34.2741,146.1384
Marcus Beach,QLD,4573,499,-26.455,153.0985
Pentland,QLD,4816,499,-20.5928,145.3961
Broomehill Village,WA,6318,499,-33.8455,117.639
Wesburn,VIC,3799,498,-37.7738,145.645
Donnybrook,QLD,4510,498,-27.0048,153.0648
The Palms,QLD,4570,498,-26.1912,152.5892
The Caves,QLD,4702,498,-23.1792,150.4626
Boulia,QLD,4829,498,-22.9093,139.911
Halifax,QLD,4850,498,-18.5789,146.288
Tintinara,SA,5266,498,-35.8884,140.0509
Cossack,NT,0850,497,-14.4832,132.2083
Scotland Island,NSW,2105,497,-33.64,151.2913
South Golden Beach,NSW,2483,497,-28.4962,153.5465
Axedale,VIC,3551,497,-36.7775,144.5034
Medindie,SA,5081,497,-34.8971,138.605
Direk,SA,5110,497,-34.7284,138.6149
Ebenezer,NSW,2756,496,-33.5234,150.8859
Kuridala,QLD,4824,496,-21.1143,140.3346
Wedgefield,WA,6721,496,-20.3744,118.5908
Kingswood,NSW,2340,495,-31.1592,150.9128
Ardlethan,NSW,2665,495,-34.3514,146.8905
Bunya Mountains,QLD,4405,495,-26.8874,151.5819
One Mile,NSW,2316,494,-32.7695,152.1133
Falls Creek,NSW,2540,494,-34.9936,150.5923
Kenilworth,QLD,4574,494,-26.5947,152.7293
Victory Heights,WA,6432,494,-30.7795,121.4724
Macquarie Links,NSW,2565,493,-33.9801,150.8723
Cedar Creek,QLD,4207,493,-27.8294,153.1815
Clare,QLD,4807,493,-19.8101,147.2149
Aldinga,SA,5173,492,-35.2673,138.4814
Brinkin,NT,0810,491,-12.3668,130.8713
Safety Beach,NSW,2456,490,-30.0955,153.1929
Yelarbon,QLD,4388,490,-28.5792,150.7182
Alligator Creek,QLD,4740,490,-21.3237,149.2207
Aloomba,QLD,4871,490,-17.1288,145.8456
Kulin,WA,6365,490,-32.6724,118.1582
Brightwaters,NSW,2264,489,-33.1159,151.5447
Theodore,QLD,4719,489,-24.9455,150.077
Warooka,SA,5577,489,-35.0053,137.3737
Harrisville,QLD,4307,488,-27.81,152.6682
Julago,QLD,4816,488,-19.3703,146.8966
West End,WA,6530,488,-28.7798,114.5873
Bluff,QLD,4702,487,-23.575,149.0692
Wallabi Point,NSW,2430,486,-31.9915,152.5671
Kalgan,WA,6330,486,-34.9243,118.0025
Glenreagh,NSW,2450,485,-30.0574,152.9766
Nerrina,VIC,3350,485,-37.5442,143.8872
Augathella,QLD,4477,485,-25.7984,146.5869
Yanco,NSW,2703,484,-34.6012,146.409
Poowong,VIC,3988,483,-38.3404,145.765
Elliston,SA,5670,483,-33.6437,134.8907
Brigadoon,WA,6069,482,-31.7769,116.0758
Mount Johns,NT,0874,481,-23.7223,133.8789
Kyeemagh,NSW,2216,481,-33.9497,151.1608
Bowning,NSW,2582,481,-34.7605,148.8156
Mount Torrens,SA,5244,481,-34.8747,138.959
Sawyers Valley,WA,6074,481,-31.8985,116.2041
Meckering,WA,6405,481,-31.6269,117.0047
Koolewong,NSW,2256,480,-33.4669,151.3171
Ashford,NSW,2361,480,-29.3186,151.103
Panton Hill,VIC,3759,480,-37.6419,145.2429
Aeroglen,QLD,4870,480,-16.8815,145.7477
Truro,SA,5356,480,-34.4143,139.1445
Cuballing,WA,6311,480,-32.8196,117.1777
Darkan,WA,6392,480,-33.3394,116.743
Matcham,NSW,2250,479,-33.4093,151.4237
Hepburn,VIC,3461,479,-37.3095,144.1313
Wallumbilla,QLD,4428,479,-26.5877,149.1865
Abergowrie,QLD,4850,479,-18.4641,145.9091
New Berrima,NSW,2577,478,-34.5035,150.3343
Maryvale,QLD,4370,478,-28.0718,152.2432
Deepdale,WA,6532,478,-28.7805,114.6785
Louth Park,NSW,2320,477,-32.7738,151.5515
Wattle Ponds,NSW,2330,477,-32.5225,151.1841
Emmaville,NSW,2371,477,-29.436,151.5966
Minnamurra,NSW,2533,477,-34.6261,150.8538
Meredith,VIC,3333,477,-37.8512,144.0679
Hackney,SA,5069,477,-34.9145,138.6154
Badu Island,QLD,4875,476,-10.1546,142.1653
Gumeracha,SA,5233,476,-34.8245,138.8881
Roelands,WA,6226,476,-33.2922,115.8009
The Gardens,NT,0820,475,-12.4486,130.8384
Wombarra,NSW,2515,475,-34.2773,150.9527
Nulkaba,NSW,2325,474,-32.8073,151.347
Bungonia,NSW,2580,474,-34.8717,149.9188
Lockington,VIC,3563,474,-36.2699,144.5295
Eton,QLD,4741,474,-21.273,148.966
Brooklyn,NSW,2083,473,-33.5484,151.2155
Nowra Hill,NSW,2540,473,-34.9203,150.5609
Sunlands,SA,5322,473,-34.1326,139.8796
Gnarabup,WA,6285,473,-33.9928,114.9968
Nundle,NSW,2340,472,-31.4633,151.1279
West Ipswich,QLD,4305,472,-27.6195,152.7492
Glanville,SA,5015,472,-34.8443,138.4906
Strathalbyn,WA,6530,472,-28.753,114.6452
Grindelwald,TAS,7277,472,-41.3522,147.0052
Cudgen,NSW,2487,471,-28.2666,153.5551
Goovigen,QLD,4702,471,-24.1138,150.2384
Nelson,VIC,3292,469,-38.0436,141.0091
Portland North,VIC,3305,469,-38.3119,141.5886
Tallarook,VIC,3659,469,-37.1028,145.099
Wowan,QLD,4702,469,-23.919,150.1963
Woodrising,NSW,2284,468,-32.9859,151.6068
Balnarring Beach,VIC,3926,468,-38.3917,145.1195
Carnamah,WA,6517,468,-29.6926,115.8932
North Wagga Wagga,NSW,2650,467,-35.095,147.3826
Beerburrum,QLD,4517,467,-26.9539,152.9596
Riverglades,SA,5253,467,-35.1012,139.3014
Napperby,SA,5540,467,-33.1608,138.111
Neerabup,WA,6031,467,-31.6839,115.7788
Lewisham,TAS,7173,467,-42.8293,147.6118
Adare,QLD,4343,466,-27.5188,152.3017
Orangeville,NSW,2570,465,-34.0243,150.5944
Welby,NSW,2575,465,-34.4408,150.4258
Lake Wyangan,NSW,2680,465,-34.2457,146.0306
Nathan,QLD,4111,465,-27.544,153.0447
Farleigh,QLD,4741,465,-21.0988,149.0954
Bilpin,NSW,2758,464,-33.5044,150.5121
Hepburn Springs,VIC,3461,464,-37.3154,144.1393
Rosedale,NSW,2536,463,-35.8159,150.2203
Lower Portland,NSW,2756,463,-33.4391,150.886
K'gari,QLD,4581,463,-25.2217,153.1676
Urrbrae,SA,5064,463,-34.9665,138.6418
Kwinana Town Centre,WA,6167,463,-32.2473,115.8144
Lake Clifton,WA,6215,463,-32.8056,115.695
Koorawatha,NSW,2807,462,-34.0331,148.5618
Buxton,VIC,3711,462,-37.4277,145.7078
Basin Pocket,QLD,4305,462,-27.6013,152.7709
Banjup,WA,6164,462,-32.1578,115.8829
Windellama,NSW,2580,461,-35.0144,149.8859
Pakenham Upper,VIC,3810,461,-38.0086,145.5089
Millaroo,QLD,4807,461,-20.0469,147.2671
Vista,SA,5091,461,-34.8354,138.7232
Evanston South,SA,5116,461,-34.6407,138.729
Broadwood,WA,6430,461,-30.7839,121.4482
Chadwick,WA,6450,461,-33.8376,121.8892
Redridge,QLD,4660,460,-25.1754,152.3325
Mirriwinni,QLD,4871,460,-17.3916,145.9142
Clinton,SA,5570,460,-34.2231,138.0185
Cooee,TAS,7320,459,-41.0424,145.8741
Waratah,TAS,7321,459,-41.4448,145.5297
Ross,NT,0873,458,-23.7402,133.8828
Cambewarra Village,NSW,2540,458,-34.8214,150.5592
Springton,SA,5235,458,-34.7115,139.0987
Wingello,NSW,2579,457,-34.6925,150.1571
Marengo,VIC,3233,457,-38.777,143.6607
Moresby,WA,6530,457,-28.7251,114.6603
Port Albert,VIC,3971,456,-38.668,146.6917
Bluewater Park,QLD,4818,456,-19.2037,146.5133
Wondecla,QLD,4887,456,-17.4222,145.4213
Frankland River,WA,6396,456,-34.35,117.0293
Port Arthur,TAS,7182,456,-43.1483,147.8478
Cecil Park,NSW,2178,455,-33.8691,150.8286
Pilliga,NSW,2388,455,-30.3621,148.8908
Razorback,NSW,2571,455,-34.151,150.6516
Strathmore Heights,VIC,3041,455,-37.7124,144.8956
Upper Sturt,SA,5156,455,-35.0216,138.6826
Dwellingup,WA,6213,455,-32.7149,116.0682
Warrenheip,VIC,3352,454,-37.5691,143.9261
Port Neill,SA,5604,454,-34.1104,136.34
Lake Grace,WA,6353,454,-33.1021,118.4652
Lockwood South,VIC,3551,453,-36.8685,144.1448
Carmila,QLD,4739,453,-21.8979,149.3922
Owen,SA,5460,453,-34.2658,138.5375
Barangaroo,NSW,2000,452,-33.8638,151.2016
Woolwich,NSW,2110,452,-33.8391,151.1724
Wasleys,SA,5400,452,-34.4771,138.6851
Blyth,SA,5462,452,-33.8451,138.4814
Narrawong,VIC,3285,451,-38.2514,141.7072
Ilfracombe,QLD,4727,451,-23.5458,144.512
One Tree Hill,SA,5114,451,-34.7166,138.7595
Lachlan,TAS,7140,451,-42.8343,147.0377
Berry Springs,NT,0838,450,-12.7201,131.0161
Kiama Heights,NSW,2533,450,-34.6952,150.8492
Brooklands,QLD,4615,450,-26.7202,151.848
Gawler Belt,SA,5118,450,-34.5764,138.7283
Cadell,SA,5321,450,-34.0536,139.7661
East Rockingham,WA,6168,450,-32.2704,115.7707
Lovedale,NSW,2325,449,-32.7592,151.357
Menangle Park,NSW,2563,449,-34.1033,150.7571
Loch,VIC,3945,449,-38.3703,145.7003
Upper Brookfield,QLD,4069,449,-27.4794,152.8578
Coalfalls,QLD,4305,449,-27.6068,152.7438
Dugandan,QLD,4310,449,-28.0128,152.6784
Jericho,QLD,4728,449,-23.556,146.1164
Clareville,NSW,2107,448,-33.6362,151.3104
Toolern Vale,VIC,3337,448,-37.6044,144.5881
Moa Island,QLD,4875,448,-10.2036,142.2876
Myponga,SA,5202,448,-35.3955,138.4703
Wooroloo,WA,6558,448,-31.7997,116.3122
Taylors Beach,NSW,2316,447,-32.7487,152.0692
The Patch,VIC,3792,447,-37.8896,145.3959
Southern Cross,QLD,4820,447,-20.0661,146.2121
Coondle,WA,6566,447,-31.4876,116.4195
Murdunna,TAS,7178,447,-42.9568,147.8495
Lilydale,TAS,7268,447,-41.2492,147.2212
Mount Kembla,NSW,2526,446,-34.4318,150.8216
Jeparit,VIC,3423,446,-36.1353,141.9869
Amberley,QLD,4306,446,-27.6391,152.6963
Grandchester,QLD,4340,446,-27.6684,152.462
Stony Rise,TAS,7310,446,-41.1937,146.3296
Anakie,VIC,3213,445,-37.9244,144.2577
The Honeysuckles,VIC,3851,445,-38.347,147.2271
Torbanlea,QLD,4662,445,-25.346,152.5863
Mingenew,WA,6522,445,-29.1922,115.4416
Tolmie,VIC,3723,444,-36.9442,146.2432
Muttaburra,QLD,4732,444,-22.5931,144.5348
Mission River,QLD,4874,444,-12.682,141.894
Doomadgee,QLD,4830,443,-17.9425,138.8304
Swan Reach,SA,5354,443,-34.572,139.5935
Morangup,WA,6083,443,-31.6691,116.2991
Port Hacking,NSW,2229,442,-34.0673,151.1237
Tarcutta,NSW,2652,442,-35.2838,147.7275
Carcoar,NSW,2791,442,-33.6092,149.1414
Teringie,SA,5072,442,-34.9123,138.6969
Wyalkatchem,WA,6485,442,-31.1872,117.3814
North Macksville,NSW,2447,441,-30.6997,152.9351
Goughs Bay,VIC,3723,441,-37.1754,146.0682
Chittaway Point,NSW,2261,440,-33.323,151.4446
Raleigh,NSW,2454,440,-30.4627,152.9993
Guanaba,QLD,4210,440,-27.9379,153.246
Sandstone,WA,6639,440,-28.452,118.9514
Beechwood,NSW,2446,439,-31.4364,152.67
Captains Flat,NSW,2623,439,-35.5889,149.4486
Bulla,VIC,3428,439,-37.634,144.8037
Gruyere,VIC,3770,439,-37.7411,145.4617
Kandanga,QLD,4570,439,-26.3879,152.6873
Wellesley Islands,QLD,4892,439,-16.6649,139.1809
Loveday,SA,5345,439,-34.283,140.4346
Black Point,SA,5571,439,-34.6119,137.8942
Vacy,NSW,2421,438,-32.5373,151.5689
Woollamia,NSW,2540,438,-35.0153,150.6454
Bradfield,NSW,2556,438,-33.924,150.7353
Nyah West,VIC,3595,438,-35.1872,143.348
Speewah,QLD,4881,438,-16.882,145.6083
Gabbadah,WA,6041,438,-31.2833,115.5245
Orange Grove,WA,6109,438,-32.0275,116.0175
Failford,NSW,2430,437,-32.0882,152.4458
Gillman,SA,5013,437,-34.842,138.5265
Fingal Head,NSW,2487,436,-28.2029,153.565
Kyle Bay,NSW,2221,435,-33.9893,151.0999
Wongarbon,NSW,2831,435,-32.327,148.7681
Woorabinda,QLD,4713,435,-24.1321,149.4573
Laguna Quays,QLD,4800,435,-20.6129,148.6685
Sandgate,NSW,2304,434,-32.871,151.7085
Tamaree,QLD,4570,434,-26.1354,152.6571
Rosny,TAS,7018,434,-42.8705,147.3574
Greenhills Beach,NSW,2230,433,-34.0366,151.1632
Aldershot,QLD,4650,433,-25.4629,152.6616
Greenvale,QLD,4816,433,-19.0087,145.027
Rangewood,QLD,4817,433,-19.3103,146.6381
Westonia,WA,6423,433,-31.2987,118.6962
Minyip,VIC,3392,432,-36.459,142.597
Arno Bay,SA,5603,432,-33.9062,136.5708
Casuarina,NT,0810,431,-12.3746,130.8824
Sailors Gully,VIC,3556,431,-36.7095,144.2369
Merrigum,VIC,3618,431,-36.3704,145.136
Darwin River,NT,0841,430,-12.8076,130.9667
Coongulla,VIC,3860,430,-37.8931,146.7837
Finch Hatton,QLD,4756,430,-21.1297,148.6303
Fullerton Cove,NSW,2318,429,-32.8501,151.8111
Essendon Fields,VIC,3041,429,-37.7272,144.8995
Ilbilbie,QLD,4738,429,-21.6902,149.4139
Henderson,WA,6166,429,-32.1545,115.7776
Glenlogan,QLD,4280,428,-27.8324,153.0028
Blue Mountain Heights,QLD,4350,428,-27.5014,151.9593
Laguna,NSW,2325,427,-33.0133,151.0977
Wallabadah,NSW,2343,427,-31.5404,150.8342
Talbot,VIC,3371,427,-37.1762,143.6985
Dulong,QLD,4560,427,-26.6363,152.8974
Mutchilba,QLD,4872,427,-17.1585,145.2485
Montagu Bay,TAS,7018,427,-42.8646,147.3591
Eveleigh,NSW,2015,426,-33.8961,151.1922
Skipton,VIC,3361,426,-37.6863,143.3587
Main Ridge,VIC,3928,426,-38.3994,144.9695
Greenmount,QLD,4359,426,-27.7829,151.9046
Rosedale,QLD,4674,426,-24.6169,151.9177
Deepwater,NSW,2371,425,-29.4374,151.8639
Glenlyon,VIC,3461,425,-37.2911,144.2433
Haigslea,QLD,4306,425,-27.5682,152.6343
College Park,SA,5069,425,-34.912,138.6202
Glencoe,SA,5291,425,-37.6801,140.5981
Bendemeer,NSW,2355,424,-30.8626,151.1576
Burringbar,NSW,2483,424,-28.4355,153.4672
Urana,NSW,2645,424,-35.325,146.2736
Montefiores,NSW,2820,424,-32.5389,148.9359
Belvedere,QLD,4860,424,-17.5214,145.9893
Terowie,SA,5421,424,-33.1494,138.9193
Melrose,SA,5483,424,-32.8183,138.1968
Dumbleyung,WA,6350,424,-33.3118,117.7464
Beeac,VIC,3251,423,-38.186,143.6402
Deepwater,QLD,4674,423,-24.4136,151.9384
Barlows Hill,QLD,4703,423,-23.108,150.7439
Guthalungra,QLD,4805,423,-19.8242,147.7766
Elphinstone,VIC,3448,422,-37.0984,144.3355
North Maleny,QLD,4552,422,-26.7443,152.8711
Marlborough,QLD,4705,422,-22.8344,149.8783
Irvinebank,QLD,4887,422,-17.4035,145.1752
Collingullie,NSW,2650,421,-35.1288,147.1216
Sunset Strip,VIC,3922,420,-38.4955,145.2669
Moores Pocket,QLD,4305,420,-27.5987,152.7795
Miriam Vale,QLD,4677,420,-24.3292,151.5573
Heathfield,SA,5153,420,-35.0257,138.7202
Blackwood,VIC,3458,419,-37.4751,144.307
Goornong,VIC,3557,419,-36.6244,144.4982
Banana,QLD,4702,419,-24.4793,150.1338
Bray Park,NSW,2484,418,-28.3405,153.3759
Rosslyn,QLD,4703,418,-23.1681,150.783
Myalup,WA,6220,418,-33.0853,115.7076
Linton,VIC,3360,417,-37.6844,143.5572
Cosgrove,QLD,4818,417,-19.2682,146.7081
Forth,TAS,7310,417,-41.1951,146.2465
Pallarenda,QLD,4810,416,-19.2023,146.7726
